C;Programming Languages;very good
C++;Programming Languages;very good
Objective C; Programming Languages;basic
Python;Programming Languages;good
JavaScript;Programming Languages;basic
Google Test;Unit Tests;basic
Qt Test; Unit Tests;good
Test Coverage (gcov & lcov);Unit Tests;basic
Git;Version Control;good
SVN;Version Control;very good
OS X;OS's;very good
Linux;OS's;good
Win;OS's;good
Doxygen;Documentation;very good
Graphviz;Documentation;very good
Qt;Frameworks;very good
Boost;Frameworks;good
Cocoa Touch;Frameworks;basic
OOP/OOD;Skills;very good
Design/Architecture Patterns;Skills;very good
Regexp;Skills;basic
UX/UI Design;Skills;basic
UML;Skills;good
Project Management / Scrum / XP;Skills;very good
CMake;Build Tools;good
Buildbot;Build Tools;basic
OCLint;Static Analysis;basic
CppCheck;Static Analysis;good
Valgrind;Dynamic Analysis;basic
Instruments (XCode);Dynamic Analysis;basic
XCode;IDE;basic
Visual Studio;IDE;very good
IAR Studio;IDE;very good
